"id","fk_author","fk_article"
"835","285","211"
"836","335","211"
"837","410","212"
"838","411","212"
"839","412","212"
"840","413","212"
"841","414","213"
"842","380","213"
"843","285","214"
"844","415","214"
"845","335","214"
"846","416","215"
"847","380","215"
"848","416","219"
"849","380","219"
"850","416","357"
"851","380","357"
"852","416","388"
"853","380","388"
"854","416","435"
"855","380","435"
"856","416","436"
"857","380","436"
"858","417","216"
"859","418","216"
"860","419","216"
"861","420","216"
"862","421","216"
"863","380","216"
"864","422","217"
"865","380","217"
"866","422","221"
"1411","587","221"
"868","423","218"
"869","358","218"
"870","424","220"
"871","425","220"
"872","424","227"
"873","425","227"
"874","371","222"
"875","318","222"
"876","285","223"
"877","426","223"
"878","287","223"
"879","285","226"
"880","426","226"
"881","287","226"
"882","402","224"
"883","358","224"
"884","401","228"
"885","380","228"
"886","401","354"
"887","380","354"
"888","401","383"
"889","380","383"
"890","401","410"
"891","380","410"
"892","427","229"
"893","358","229"
"894","303","230"
"895","298","230"
"896","303","359"
"897","298","359"
"898","303","374"
"899","298","374"
"900","303","412"
"901","298","412"
"902","428","231"
"903","429","231"
"904","335","231"
"905","373","232"
"906","380","232"
"907","430","233"
"908","380","233"
"909","431","233"
"910","432","233"
"911","371","234"
"912","433","234"
"913","434","234"
"914","430","235"
"915","380","235"
"916","354","236"
"917","434","236"
"918","369","237"
"919","370","237"
"920","369","272"
"921","370","272"
"922","435","238"
"923","436","238"
"924","437","239"
"925","313","239"
"926","349","241"
"927","438","242"
"928","439","242"
"929","438","246"
"930","439","246"
"931","440","245"
"932","289","245"
"933","303","247"
"934","370","247"
"935","441","247"
"936","280","247"
"937","303","250"
"938","370","250"
"939","441","250"
"940","280","250"
"941","303","252"
"942","370","252"
"943","441","252"
"944","280","252"
"945","442","248"
"946","443","248"
"947","444","248"
"948","367","249"
"949","380","249"
"950","445","251"
"951","429","251"
"952","335","251"
"953","446","253"
"954","429","253"
"955","335","253"
"956","447","254"
"957","448","254"
"958","335","254"
"959","449","255"
"960","436","255"
"961","450","256"
"962","451","256"
"963","303","257"
"964","370","257"
"965","452","258"
"966","371","258"
"967","318","258"
"968","453","259"
"969","335","259"
"970","454","260"
"971","380","260"
"972","455","261"
"973","335","261"
"974","303","262"
"975","298","262"
"976","456","263"
"977","335","263"
"978","457","264"
"979","335","264"
"980","458","265"
"981","335","265"
"982","459","266"
"983","460","266"
"984","461","268"
"985","462","269"
"986","463","269"
"987","365","271"
"988","464","274"
"989","369","275"
"990","370","275"
"991","312","277"
"992","312","278"
"993","465","279"
"994","466","279"
"995","385","280"
"996","289","280"
"997","312","281"
"998","312","285"
"999","300","282"
"1000","298","282"
"1001","300","284"
"1002","298","284"
"1003","467","286"
"1004","394","286"
"1005","467","289"
"1006","394","289"
"1007","349","287"
"1008","340","288"
"1009","341","288"
"1010","368","290"
